Round ,Competitor_Red,Competitor_White,Point_awarded_to,Target,Point_order ,Waza_1,Waza_2,Encho,Flag raised
1,Masatsugu matsui,Ryuji Adachi,White,Men,1,Tobikomi,,Y,3
1,Yoshimasa Yamana,Kosei Tsutsumi,Red,Men,1,Hiki,,Y,3
1,Ryo Goya,Kensuke Sasaki,Red,Men,1,Hiki,Harai,Y,3
1,Kenji Izumi,Hideaki Hoshino,White,Men,1,Debana,,N,3
1,Takehiro Tauchi,Shodai Hamasaki,White,Men,1,Debana,,Y,3
1,Shohei Otani,Syun Yamauchi,White,Kote,1,Misete,Men,Y,3
1,Hironori Sugita,Keita Hoshiko,White,Kote,1,Tobikomi,,N,3
1,Taisuke Kawazu,Kimitaka Nakazawa,White,Men,1,Misete,Kote,Y,2
1,Ryosuke Matsuzaki,Taro Chikamoto,White,Men,1,Tobikomi,,Y,3
1,Takayuki Sugano,Takuji Koike,Red,Men,1,Tobikomi,,N,3
1,Hisataka Someya,Yoshihito Fujiwara,Red,Men,1,Hiki,Harai,Y,3
1,Masaru Furudate,Ryusuke Natsumeda,White,Tsuki,1,Tobikomi,,N,2
1,Masaru Furudate,Ryusuke Natsumeda,White,Do,2,Kaeshi,Men,N,3
1,Tatsunori Ushijima,Takuma Goto,Red,Men,1,Katsugi,,Y,3
1,Shoshi Ohira,Yusuke Yamashita,White,Men,1,Katate,,Y,3
1,Hiroaki Hasegawa,Jinpei Yamasaki,Red,Kote,1,Misete,Men,N,3
1,Hiroaki Hasegawa,Jinpei Yamasaki,Red,Men,2,Hiki,,N,3
1,Rintaro Makishima,Kazuya Tsuruta,White,Kote,1,Debana,,Y,2
1,Kenshiro Matsuzaki,Yuta Okumura,Red,Men,1,Debana,,Y,3
1,Sena Maeda,Ryuhei Yokofuji,Red,Kote,1,Tobikomi,,Y,3
1,Syumpei Sota,Shota Takimoto,Red,Men,1,Debana,,N,3
1,Syumpei Sota,Shota Takimoto,Red,Do,2,Kaeshi,Men,N,3
1,Kyohei Hayashida,Masato Yamamoto,Red,Men,1,Suriage,Kote,Y,3
1,Hikaru Igarashi,Keiichi Hashimoto,White,Kote,1,Tobikomi,,N,3
1,Hikaru Igarashi,Keiichi Hashimoto,White,Kote,2,Tobikomi,,N,3
1,Shota Nakao,Yasuhiko Murakami,White,Men,1,Hiki,,Y,3
1,Koki Miura,Keita Miyamoto ,Red,Men,1,Tobikomi,,N,3
1,Chihiro Mizuta,Kazuha Kuniyasu,Red,Men,1,Tobikomi,,N,3
1,Chihiro Mizuta,Kazuha Kuniyasu,Red,Men,2,Hiki,,N,3
1,Shinya Nishizawa,Munetaka Kayo,Red,Men,1,Katate,,Y,3
1,Yuya Hinata,Kaketo Ohira,White,Men,1,Hikibana,,Y,2
1,Toranosuke Ikeda,Yuta Ito,Red,Kote,1,Debana,,N,3
1,Komei Yano,Keito Kimura,White,Men,1,Hikibana,Katsugi,N,3
1,Komei Yano,Keito Kimura,White,Kote,2,Misete,Men,N,3
1,Tsubasa Yaga,Harutaka Nakamura,Red,Do,1,Kaeshi,Men,N,3
1,Takase Saito,Yuya Shiratori,Red,Men,1,Tobikomi,,Y,3
1,Shunsuke Shibata,Kai Senda,White,Kote,1,Misete,Men,Y,3
1,Junya Iwahara,Yuya Takenouchi,White,Men,1,Kaeshi,Osae,N,3
2,Ryudji Adachi,Yoshimasa Yamana,Red,Men,1,Kaeshi,Kote,Y,3
2,Ryo Goya,Hideaki Hoshino,Red,Men,1,Hiki,,N,3
2,Ryo Goya,Hideaki Hoshino,Red,Kote,2,Misete,Men,N,3
2,Shodai Hamasaki,Syun Yamauchi,Red,Men,1,Debana,,N,2
2,Keita Hoshiko,Kimitaka Nakazawa,Red,Men,1,Tobikomi,,Y,3
2,Taro Chikamoto,Takayuki Sugano,White,Men,1,Tobikomi,,N,3
2,Taro Chikamoto,Takayuki Sugano,Red,Men,2,Debana,,N,3
2,Taro Chikamoto,Takayuki Sugano,Red,Do,3,Kaeshi,Men,Y,3
2,Hisataka Someya,Ryusuke Natsumeda,White,Men,1,Kaeshi,Kote,N,3
2,Tatsunori Ushijima,Yusuke Yamashita,White,Men,1,Katate,,N,3
2,Hiroaki Hasegawa,Kazuya Tsuruta,Red,Kote,1,Hiki,,N,3
2,Hiroaki Hasegawa,Kazuya Tsuruta,Red,Men,2,Tobikomi,,N,3
2,Kenshiro Matsuzaki,Sena Maeda,Red,Men,1,Hikibana,,N,3
2,Syumpei Sota,Kyohei Hayashida,White,Kote,1,Debana,,Y,3
2,Keiichi Hashimoto,Yasuhiko Murakami,Red,Men,1,Debana,,N,2
2,Koki Miura,Chihiro Mizuta,White,Men,1,Tobikomi,,N,3
2,Shinya Nishizawa,Kaketo Ohira,White,Men,1,Kaeshi,Men,N,2
2,Toranosuke Ikeda,Keito Kimura,Red,Kote,1,Debana,,Y,3
2,Tsubasa Yaga,Takase Saito,Red,Men,1,Tobikomi,,Y,3
2,Kai Senda,Yuya Takenouchi,White,Kote,1,Tobikomi,,N,3
3,Ryuji Adachi,Ryo Goya,White,Men,1,Tobikomi,,Y,2
3,Shodai Hamasaki,Keita Hoshiko,Red,Kote,1,Tobikomi,,Y,3
3,Taro Chikamoto,Ryusuke Natsumeda,White,Men,1,Tobikomi,,N,2
3,Yusuke Yamashita,Hiroaki Hasegawa,Red,Men,1,Katate,,N,3
3,Kenshiro Matsuzaki,Kyohei Hayashida,Red,Men,1,Tobikomi,,Y,3
3,Keiichi Hashimoto,Chihiro Mizuta,Red,Kote,1,Debana,,N,3
3,Keiichi Hashimoto,Chihiro Mizuta,White,Men,2,Hiki,,N,3
3,Keiichi Hashimoto,Chihiro Mizuta,White,Men,3,Tobikomi,,Y,3
3,Kaketo Ohira,Toranosuke Ikeda,White,Men,1,Hiki,,Y,3
3,Tsubasa Yaga,Yuya Takenouchi,White,Men,1,Tobikomi,,N,3
4,Ryo Goya,Shodai Hamasaki,Red,Men,1,Debana,,Y,3
4,Ryusuke Natsumeda,Yusuke Yamashita,Red,Kote,1,Debana,,Y,3
4,Kenshiro Matsuzaki,Chihiro Mizuta,Red,Kote,1,Debana,,N,3
4,Toranosuke Ikeda,Yuya Takenouchi,White,Men,1,Tobikomi,,N,3
4,Toranosuke Ikeda,Yuya Takenouchi,White,Men,2,Tobikomi,,N,3
5,Ryo Goya,Ryusuke Natsumeda,Red,Do,1,Kaeshi,Men,N,2
5,Ryo Goya,Ryusuke Natsumeda,White,Kote,2,Misete,Men,N,3
5,Ryo Goya,Ryusuke Natsumeda,Red,Men,3,Katsugi,,N,3
5,Kenshiro Matsuzaki,Yuya Takenouchi,White,Men,1,Renzoku,,N,3
5,Kenshiro Matsuzaki,Yuya Takenouchi,White,Men,2,Misete,Kote,N,3
6,Ryo Goya,Yuya Takenouchi,White,Kote,1,Misete,Men,N,3
6,Ryo Goya,Yuya Takenouchi,White,Men,2,Tobikomi,,N,3